time_period,time_identifier,geographic_level,country_code,country_name,characteristic,characteristic_type,gender,number_of_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score,gld_gap
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Girls,5844,4100,70,4185,72,198178,33.9,-6.8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Boys,6193,3371,54,3505,57,192970,31.2,-8.4
201718,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Total,19919,11165,56,11380,57,658000,33,-14.4
201718,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Girls,9793,6146,63,6232,64,334306,34.1,-14.8
201718,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Boys,10126,5019,50,5148,51,323694,32,-14.1
201718,Academic year,National,E92000001,England,First language,English,Total,511092,368814,72,374756,73,17912297,35,6.8
201718,Academic year,National,E92000001,England,First language,English,Girls,249276,198047,79,199922,80,9028027,36.2,6.6
201718,Academic year,National,E92000001,England,First language,English,Boys,261816,170767,65,174834,67,8884270,33.9,7.1
201718,Academic year,National,E92000001,England,First language,Other than English,Total,128130,82386,64,85199,66,4212116,32.9,.
201718,Academic year,National,E92000001,England,First language,Other than English,Girls,62572,44987,72,46058,74,2138503,34.2,.
201718,Academic year,National,E92000001,England,First language,Other than English,Boys,65558,37399,57,39141,60,2073613,31.6,.
201718,Academic year,National,E92000001,England,First language,unclassified,Total,13127,6572,50,6713,51,426244,32.5,.
201718,Academic year,National,E92000001,England,First language,unclassified,Girls,6422,3614,56,3671,57,215565,33.6,.
201718,Academic year,National,E92000001,England,First language,unclassified,Boys,6705,2958,44,3042,45,210679,31.4,.
201718,Academic year,National,E92000001,England,FSM,FSM,Total,87190,47880,55,49312,57,2747141,31.5,17.3
201718,Academic year,National,E92000001,England,FSM,FSM,Girls,42403,27000,64,27543,65,1393689,32.9,15.6
201718,Academic year,National,E92000001,England,FSM,FSM,Boys,44787,20880,47,21769,49,1353452,30.2,18.9
201718,Academic year,National,E92000001,England,FSM,All other pupils,Total,565159,409892,73,417356,74,19803516,35,.
201718,Academic year,National,E92000001,England,FSM,All other pupils,Girls,275867,219648,80,222108,81,9988406,36.2,.
201718,Academic year,National,E92000001,England,FSM,All other pupils,Boys,289292,190244,66,195248,67,9815110,33.9,.
201718,Academic year,National,E92000001,England,Month of birth,Autumn born,Total,226558,179671,79,182470,81,8310892,36.7,19.1
201718,Academic year,National,E92000001,England,Month of birth,Autumn born,Girls,110251,94387,86,95267,86,4174791,37.9,17.2
201718,Academic year,National,E92000001,England,Month of birth,Autumn born,Boys,116307,85284,73,87203,75,4136101,35.6,21
201718,Academic year,National,E92000001,England,Month of birth,Spring born,Total,207144,147029,71,149855,72,7150976,34.5,.
201718,Academic year,National,E92000001,England,Month of birth,Spring born,Girls,100978,79316,79,80255,79,3608103,35.7,.
201718,Academic year,National,E92000001,England,Month of birth,Spring born,Boys,106166,67713,64,69600,66,3542873,33.4,.
201718,Academic year,National,E92000001,England,Month of birth,Summer born,Total,218647,131072,60,134343,61,7088789,32.4,.
201718,Academic year,National,E92000001,England,Month of birth,Summer born,Girls,107041,72945,68,74129,69,3599201,33.6,.
201718,Academic year,National,E92000001,England,Month of birth,Summer born,Boys,111606,58127,52,60214,54,3489588,31.3,.
201718,Academic year,National,E92000001,England,SEN,No identified SEN,Total,579279,437950,76,446003,77,20608887,35.6,52.8
201718,Academic year,National,E92000001,England,SEN,No identified SEN,Girls,294280,238288,81,241072,82,10707885,36.4,52.4
201718,Academic year,National,E92000001,England,SEN,No identified SEN,Boys,284999,199662,70,204931,72,9901002,34.7,49.9
201718,Academic year,National,E92000001,England,SEN,All SEN,Total,60662,13976,23,14704,24,1543562,25.4,.
201718,Academic year,National,E92000001,England,SEN,All SEN,Girls,17911,5119,29,5290,30,472340,26.4,.
201718,Academic year,National,E92000001,England,SEN,All SEN,Boys,42751,8857,21,9414,22,1071222,25.1,.
201718,Academic year,National,E92000001,England,SEN,SEN support,Total,50957,13547,27,14240,28,1353756,26.6,.
201718,Academic year,National,E92000001,England,SEN,SEN support,Girls,15239,4959,33,5125,34,419445,27.5,.
201718,Academic year,National,E92000001,England,SEN,SEN support,Boys,35718,8588,24,9115,26,934311,26.2,.
201718,Academic year,National,E92000001,England,SEN,SEN statement,Total,9705,429,4,464,5,189806,19.6,.
201718,Academic year,National,E92000001,England,SEN,SEN statement,Girls,2672,160,6,165,6,52895,19.8,.
201718,Academic year,National,E92000001,England,SEN,SEN statement,Boys,7033,269,4,299,4,136911,19.5,.
201718,Academic year,National,E92000001,England,SEN,unclassified,Total,12408,5846,47,5961,48,398208,32.1,.
201718,Academic year,National,E92000001,England,SEN,unclassified,Girls,6079,3241,53,3289,54,201870,33.2,.
201718,Academic year,National,E92000001,England,SEN,unclassified,Boys,6329,2605,41,2672,42,196338,31,.
201718,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Total,1327,199,15,213,16,31323,23.6,.
201718,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Girls,404,67,17,70,17,9480,23.5,.
201718,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Boys,923,132,14,143,15,21843,23.7,.
201718,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Total,4787,685,14,748,16,114585,23.9,.
201718,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Girls,1595,261,16,281,18,38710,24.3,.
201718,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Boys,3192,424,13,467,15,75875,23.8,.
201718,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Total,1530,15,1,16,1,27081,17.7,.
201718,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Girls,447,4,1,4,1,7882,17.6,.
201718,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Boys,1083,11,1,12,1,19199,17.7,.
201718,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Total,728,8,1,8,1,12877,17.7,.
201718,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Girls,275,1,0,1,0,4831,17.6,.
201718,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Boys,453,7,2,7,2,8046,17.8,.
201718,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Total,6196,1540,25,1610,26,168368,27.2,.
201718,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Girls,1443,459,32,466,32,40548,28.1,.
201718,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Boys,4753,1081,23,1144,24,127820,26.9,.
201718,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Total,31634,8463,27,8881,28,833218,26.3,.
201718,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Girls,9398,3075,33,3186,34,257409,27.4,.
201718,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Boys,22236,5388,24,5695,26,575809,25.9,.
201718,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Total,1100,409,37,423,38,31359,28.5,.
201718,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Girls,503,199,40,203,40,14495,28.8,.
201718,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Boys,597,210,35,220,37,16864,28.2,.
201718,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Total,602,246,41,255,42,17662,29.3,.
201718,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Girls,281,132,47,133,47,8448,30.1,.
201718,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Boys,321,114,36,122,38,9214,28.7,.
201718,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Total,217,53,24,54,25,5417,25,.
201718,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Girls,66,21,32,21,32,1717,26,.
201718,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Boys,151,32,21,33,22,3700,24.5,.
201718,Academic year,National,E92000001,England,SEN primary need,Physical disability,Total,2217,676,30,693,31,60016,27.1,.
201718,Academic year,National,E92000001,England,SEN primary need,Physical disability,Girls,937,326,35,329,35,26030,27.8,.
201718,Academic year,National,E92000001,England,SEN primary need,Physical disability,Boys,1280,350,27,364,28,33986,26.6,.
201718,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Total,6790,717,11,783,12,147549,21.7,.
201718,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Girls,1361,187,14,195,14,30125,22.1,.
201718,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Boys,5429,530,10,588,11,117424,21.6,.
201718,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Total,1909,550,29,572,30,50968,26.7,.
201718,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Girls,703,239,34,243,35,19159,27.3,.
201718,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Boys,1206,311,26,329,27,31809,26.4,.
201718,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Total,1625,415,26,448,28,43139,26.5,.
201718,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Girls,498,148,30,158,32,13506,27.1,.
201718,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Boys,1127,267,24,290,26,29633,26.3,.
201617,Academic year,National,E92000001,England, , ,Total,669864,462298,69,473626,71,23080454,34.5,.
201617,Academic year,National,E92000001,England, , ,Girls,326827,250147,77,254061,78,11659880,35.7,.
201617,Academic year,National,E92000001,England, , ,Boys,343037,212151,62,219565,64,11420574,33.3,.
201617,Academic year,National,E92000001,England,Ethnicity: major group,White,Total,490390,343269,70,350697,72,17028025,34.7,0.8
201617,Academic year,National,E92000001,England,Ethnicity: major group,White,Girls,239166,185208,77,187686,78,8586945,35.9,0.7
201617,Academic year,National,E92000001,England,Ethnicity: major group,White,Boys,251224,158061,63,163011,65,8441080,33.6,0.9
201617,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Total,41401,29374,71,30086,73,1442611,34.8,2
201617,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Girls,20103,15770,78,16030,80,725708,36.1,2
201617,Academic year,National,E92000001,England,Ethnicity: major group,Mixed,Boys,21298,13604,64,14056,66,716903,33.7,2
201617,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Total,70380,46959,67,48870,69,2358153,33.5,-1.3
201617,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Girls,34393,25685,75,26388,77,1199734,34.9,-1
201617,Academic year,National,E92000001,England,Ethnicity: major group,Asian,Boys,35987,21274,59,22482,62,1158419,32.2,-1.5
201617,Academic year,National,E92000001,England,Ethnicity: major group,Black,Total,33328,22528,68,23198,70,1118483,33.6,-1.1
201617,Academic year,National,E92000001,England,Ethnicity: major group,Black,Girls,16415,12531,76,12765,78,575178,35,0
201617,Academic year,National,E92000001,England,Ethnicity: major group,Black,Boys,16913,9997,59,10433,62,543305,32.1,-2.3
201617,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Total,3334,2388,72,2482,74,115693,34.7,3.7
201617,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Girls,1605,1258,78,1290,80,57761,36,2.6
201617,Academic year,National,E92000001,England,Ethnicity: major group,Chinese,Boys,1729,1130,65,1192,69,57932,33.5,4.9
201617,Academic year,National,E92000001,England,Ethnicity: major group,Other,Total,11824,7219,61,7503,63,384019,32.5,-7.2
201617,Academic year,National,E92000001,England,Ethnicity: major group,Other,Girls,5745,3940,69,4052,71,194448,33.8,-7.2
201617,Academic year,National,E92000001,England,Ethnicity: major group,Other,Boys,6079,3279,54,3451,57,189571,31.2,-7.2
201617,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Total,19207,10561,55,10790,56,633470,33,-14.5
201617,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Girls,9400,5755,61,5850,62,320106,34.1,-15.5
201617,Academic year,National,E92000001,England,Ethnicity: major group,unclassified,Boys,9807,4806,49,4940,50,313364,32,-13.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Total,439886,312668,71,319050,73,15376964,35,1.8
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Girls,214372,168458,79,170503,80,7746612,36.1,1.8
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White British,Boys,225514,144210,64,148547,66,7630352,33.8,1.9
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Total,1615,1203,74,1223,76,58088,36,5
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Girls,831,673,81,681,82,30629,36.9,4.2
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Irish,Boys,784,530,68,542,69,27459,35,5.1
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Total,656,245,37,254,39,19596,29.9,-32
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Girls,334,147,44,153,46,10365,31,-31.9
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Traveller of Irish heritage,Boys,322,98,30,101,31,9231,28.7,-32.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Total,1997,597,30,627,31,55455,27.8,-39.3
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Girls,1010,361,36,378,37,28946,28.7,-40.3
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Gypsy Romany,Boys,987,236,24,249,25,26509,26.9,-38.8
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Total,46236,28556,62,29543,64,1517922,32.8,-6.8
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Girls,22619,15569,69,15971,71,770393,34.1,-7.1
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other white background,Boys,23617,12987,55,13572,57,747529,31.7,-6.5
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Total,10389,6899,66,7069,68,354173,34.1,-2.7
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Girls,5042,3760,75,3832,76,178148,35.3,-1.7
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and black Caribbean,Boys,5347,3139,59,3237,61,176025,32.9,-3.5
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Total,5698,3992,70,4095,72,197452,34.7,1.2
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Girls,2770,2165,78,2197,79,99402,35.9,1.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and black African,Boys,2928,1827,62,1898,65,98050,33.5,0.8
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Total,10213,7678,75,7854,77,364500,35.7,6.2
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Girls,4979,4067,82,4126,83,183407,36.8,5.1
201617,Academic year,National,E92000001,England,Ethnicity: minor group,White and Asian,Boys,5234,3611,69,3728,71,181093,34.6,7.2
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Total,15101,10805,72,11068,73,526486,34.9,2.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Girls,7312,5778,79,5875,80,264751,36.2,2.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other mixed background,Boys,7789,5027,65,5193,67,261735,33.6,2.7
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Total,20514,15404,75,15856,77,722514,35.2,6.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Girls,9956,8220,83,8356,84,364271,36.6,6.2
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Indian,Boys,10558,7184,68,7500,71,358243,33.9,7
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Total,27931,17125,61,17971,64,905154,32.4,-6.4
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Girls,13837,9639,70,9988,72,467367,33.8,-5.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Pakistani,Boys,14094,7486,53,7983,57,437787,31.1,-7.4
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Total,10363,6633,64,6953,67,341422,32.9,-3.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Girls,5058,3668,73,3791,75,174392,34.5,-2.8
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Bangladeshi,Boys,5305,2965,56,3162,60,167030,31.5,-4.4
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Total,11572,7797,67,8090,70,389063,33.6,-0.8
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Girls,5542,4158,75,4253,77,193704,35,-1
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other Asian background,Boys,6030,3639,60,3837,64,195359,32.4,-0.4
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Total,5964,3977,67,4063,68,201066,33.7,-2.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Girls,2971,2272,76,2301,77,104538,35.2,-0.3
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Caribbean,Boys,2993,1705,57,1762,59,96528,32.3,-5.1
201617,Academic year,National,E92000001,England,Ethnicity: minor group,African,Total,22542,15374,68,15869,70,756794,33.6,-0.3
201617,Academic year,National,E92000001,England,Ethnicity: minor group,African,Girls,11073,8511,77,8681,78,388141,35.1,0.7
201617,Academic year,National,E92000001,England,Ethnicity: minor group,African,Boys,11469,6863,60,7188,63,368653,32.1,-1.3
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Total,4822,3177,66,3266,68,160623,33.3,-3
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Girls,2371,1748,74,1783,75,82499,34.8,-2.5
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other black background,Boys,2451,1429,58,1483,61,78124,31.9,-3.5
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Total,3334,2388,72,2482,74,115693,34.7,3.7
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Girls,1605,1258,78,1290,80,57761,36,2.6
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Chinese,Boys,1729,1130,65,1192,69,57932,33.5,4.9
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Total,11824,7219,61,7503,63,384019,32.5,-7.2
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Girls,5745,3940,69,4052,71,194448,33.8,-7.2
201617,Academic year,National,E92000001,England,Ethnicity: minor group,Any other ethnic group,Boys,6079,3279,54,3451,57,189571,31.2,-7.2
201617,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Total,19207,10561,55,10790,56,633470,33,-14.5
201617,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Girls,9400,5755,61,5850,62,320106,34.1,-15.5
201617,Academic year,National,E92000001,England,Ethnicity: minor group,unclassified,Boys,9807,4806,49,4940,50,313364,32,-13.6
201617,Academic year,National,E92000001,England,First language,English,Total,524126,372735,71,380603,73,18310505,34.9,7.5
201617,Academic year,National,E92000001,England,First language,English,Girls,255819,201194,79,203768,80,9242394,36.1,7.4
201617,Academic year,National,E92000001,England,First language,English,Boys,268307,171541,64,176835,66,9068111,33.8,7.6
201617,Academic year,National,E92000001,England,First language,Other than English,Total,132413,82931,63,86251,65,4337501,32.8,.
201617,Academic year,National,E92000001,England,First language,Other than English,Girls,64483,45336,70,46617,72,2198732,34.1,.
201617,Academic year,National,E92000001,England,First language,Other than English,Boys,67930,37595,55,39634,58,2138769,31.5,.
201617,Academic year,National,E92000001,England,First language,unclassified,Total,13325,6632,50,6772,51,432448,32.5,.
201617,Academic year,National,E92000001,England,First language,unclassified,Girls,6525,3617,55,3676,56,218754,33.5,.
201617,Academic year,National,E92000001,England,First language,unclassified,Boys,6800,3015,44,3096,46,213694,31.4,.
201617,Academic year,National,E92000001,England,FSM,FSM,Total,91641,49395,54,51316,56,2885807,31.5,17
201617,Academic year,National,E92000001,England,FSM,FSM,Girls,44391,27825,63,28576,64,1457463,32.8,15.5
201617,Academic year,National,E92000001,England,FSM,FSM,Boys,47250,21570,46,22740,48,1428344,30.2,18.4
201617,Academic year,National,E92000001,England,FSM,All other pupils,Total,578223,412903,71,422310,73,20194647,34.9,.
201617,Academic year,National,E92000001,England,FSM,All other pupils,Girls,282436,222322,79,225485,80,10202417,36.1,.
201617,Academic year,National,E92000001,England,FSM,All other pupils,Boys,295787,190581,64,196825,67,9992230,33.8,.
201617,Academic year,National,E92000001,England,Month of birth,Autumn born,Total,224359,176180,79,179611,80,8205220,36.6,19.4
201617,Academic year,National,E92000001,England,Month of birth,Autumn born,Girls,109318,92951,85,94028,86,4133059,37.8,17.3
201617,Academic year,National,E92000001,England,Month of birth,Autumn born,Boys,115041,83229,72,85583,74,4072161,35.4,21.4
201617,Academic year,National,E92000001,England,Month of birth,Spring born,Total,218088,152308,70,156021,72,7511800,34.4,.
201617,Academic year,National,E92000001,England,Month of birth,Spring born,Girls,106583,82485,77,83765,79,3797999,35.6,.
201617,Academic year,National,E92000001,England,Month of birth,Spring born,Boys,111505,69823,63,72256,65,3713801,33.3,.
201617,Academic year,National,E92000001,England,Month of birth,Summer born,Total,227417,133810,59,137994,61,7363434,32.4,.
201617,Academic year,National,E92000001,England,Month of birth,Summer born,Girls,110926,74711,67,76268,69,3728822,33.6,.
201617,Academic year,National,E92000001,England,Month of birth,Summer born,Boys,116491,59099,51,61726,53,3634612,31.2,.
201617,Academic year,National,E92000001,England,SEN,No identified SEN,Total,597144,443091,74,453481,76,21141813,35.4,52.5
201617,Academic year,National,E92000001,England,SEN,No identified SEN,Girls,303055,242109,80,245795,81,10990255,36.3,52.8
201617,Academic year,National,E92000001,England,SEN,No identified SEN,Boys,294089,200982,68,207686,71,10151558,34.5,49.2
201617,Academic year,National,E92000001,England,SEN,All SEN,Total,60135,13288,22,14099,23,1534325,25.5,.
201617,Academic year,National,E92000001,England,SEN,All SEN,Girls,17646,4823,27,4994,28,466084,26.4,.
201617,Academic year,National,E92000001,England,SEN,All SEN,Boys,42489,8465,20,9105,21,1068241,25.1,.
201617,Academic year,National,E92000001,England,SEN,SEN support,Total,50862,12940,25,13719,27,1353446,26.6,.
201617,Academic year,National,E92000001,England,SEN,SEN support,Girls,15088,4689,31,4857,32,415679,27.6,.
201617,Academic year,National,E92000001,England,SEN,SEN support,Boys,35774,8251,23,8862,25,937767,26.2,.
201617,Academic year,National,E92000001,England,SEN,SEN statement,Total,9273,348,4,380,4,180879,19.5,.
201617,Academic year,National,E92000001,England,SEN,SEN statement,Girls,2558,134,5,137,5,50405,19.7,.
201617,Academic year,National,E92000001,England,SEN,SEN statement,Boys,6715,214,3,243,4,130474,19.4,.
201617,Academic year,National,E92000001,England,SEN,unclassified,Total,12585,5919,47,6046,48,404316,32.1,.
201617,Academic year,National,E92000001,England,SEN,unclassified,Girls,6126,3215,52,3272,53,203541,33.2,.
201617,Academic year,National,E92000001,England,SEN,unclassified,Boys,6459,2704,42,2774,43,200775,31.1,.
201617,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Total,1331,186,14,200,15,32409,24.3,.
201617,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Girls,414,63,15,65,16,10154,24.5,.
201617,Academic year,National,E92000001,England,SEN primary need,Specific learning difficulty,Boys,917,123,13,135,15,22255,24.3,.
201617,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Total,4757,633,13,690,15,113579,23.9,.
201617,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Girls,1557,260,17,275,18,38295,24.6,.
201617,Academic year,National,E92000001,England,SEN primary need,Moderate learning difficulty,Boys,3200,373,12,415,13,75284,23.5,.
201617,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Total,1586,11,1,11,1,27947,17.6,.
201617,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Girls,522,2,0,2,0,9166,17.6,.
201617,Academic year,National,E92000001,England,SEN primary need,Severe learning difficulty,Boys,1064,9,1,9,1,18781,17.7,.
201617,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Total,798,5,1,5,1,14054,17.6,.
201617,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Girls,329,1,0,1,0,5724,17.4,.
201617,Academic year,National,E92000001,England,SEN primary need,Profound and multiple learning difficulties,Boys,469,4,1,4,1,8330,17.8,.
201617,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Total,6569,1562,24,1654,25,178600,27.2,.
201617,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Girls,1486,449,30,469,32,41738,28.1,.
201617,Academic year,National,E92000001,England,SEN primary need,Social; emotional and mental health,Boys,5083,1113,22,1185,23,136862,26.9,.
201617,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Total,30930,8129,26,8621,28,820108,26.5,.
201617,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Girls,9129,2882,32,2982,33,250611,27.5,.
201617,Academic year,National,E92000001,England,SEN primary need,Speech; language and communication difficulty,Boys,21801,5247,24,5639,26,569497,26.1,.
201617,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Total,1105,358,32,375,34,31064,28.1,.
201617,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Girls,514,207,40,213,41,15175,29.5,.
201617,Academic year,National,E92000001,England,SEN primary need,Hearing impairment,Boys,591,151,26,162,27,15889,26.9,.
201617,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Total,610,274,45,284,47,18424,30.2,.
201617,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Girls,289,146,51,151,52,8937,30.9,.
201617,Academic year,National,E92000001,England,SEN primary need,Visual impairment,Boys,321,128,40,133,41,9487,29.6,.
201617,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Total,221,63,29,66,30,5738,26,.
201617,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Girls,82,30,37,31,38,2194,26.8,.
201617,Academic year,National,E92000001,England,SEN primary need,Multi sensory impairment,Boys,139,33,24,35,25,3544,25.5,.
201617,Academic year,National,E92000001,England,SEN primary need,Physical disability,Total,2295,624,27,646,28,61722,26.9,.
201617,Academic year,National,E92000001,England,SEN primary need,Physical disability,Girls,993,308,31,310,31,27041,27.2,.
201617,Academic year,National,E92000001,England,SEN primary need,Physical disability,Boys,1302,316,24,336,26,34681,26.6,.
201617,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Total,6148,520,8,574,9,130822,21.3,.
201617,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Girls,1127,123,11,128,11,24335,21.6,.
201617,Academic year,National,E92000001,England,SEN primary need,Autistic spectrum disorder,Boys,5021,397,8,446,9,106487,21.2,.
201617,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Total,2099,593,28,617,29,56096,26.7,.
201617,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Girls,741,239,32,247,33,20162,27.2,.
201617,Academic year,National,E92000001,England,SEN primary need,Other difficulty or disability,Boys,1358,354,26,370,27,35934,26.5,.
201617,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Total,1686,330,20,356,21,43762,26,.
201617,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Girls,463,113,24,120,26,12552,27.1,.
201617,Academic year,National,E92000001,England,SEN primary need,No specialist assessment,Boys,1223,217,18,236,19,31210,25.5,.
201516,Academic year,National,E92000001,England, , ,Total,669052,450492,67,463601,69,23050075,34.5,.
201516,Academic year,National,E92000001,England, , ,Girls,326105,245792,75,250471,77,11648684,35.7,.
